Cusip,State,Description,Coupon,Maturity Date,Next Call Date,Moody's Rating,S&P Rating,Price Bid,Price Ask,Yield Bid,Ask Yield to Worst,Ask Yield to Maturity,Quantity Bid(min),Quantity Ask(min),Attributes
="654106AF0","N/A","NIKE INC            NOTE CALL MAKE WHOLE2.37500% 11/01/2026","2.375","11/01/2026","08/01/2026","A1","AA-","97.312","97.480","3.055","3.012","3.012","350(2)","500(10)",IE SFP D 
="913017CH0","N/A","RAYTHEON            TECHNOLOGIES CORP   2.65000% 11/01/2026 NOTE CALL MAKE WHOLE","2.650","11/01/2026","08/01/2026","BAA1","A-","97.456","97.634","3.297","3.251","3.251","300(15)","43(2)",IE SFP D 
="78016EZZ3","N/A","ROYAL BK CDA        SER I MTN           1.40000% 11/02/2026 CALL MAKE WHOLE     ISIN #US78016EZZ32","1.400","11/02/2026","N/A","A1","A","90.990","91.259","3.714","3.641","3.641","390(9)","75(2)",IE SFP D 
="742718ER6","N/A","PROCTER &GAMBLE CO  NOTE CALL MAKE WHOLE2.45000% 11/03/2026","2.450","11/03/2026","N/A","AA3","AA-","98.172","98.378","2.910","2.858","2.858","300(10)","250(5)",IE SFP D 
="025816CM9","N/A","AMERICAN EXPRESS CO NOTE 1.65000% 11/04/2026","1.650","11/04/2026","10/04/2026","A2","BBB+","92.819","93.017","3.482","3.429","3.429","250(2)","400(20)",IE SFP D 
="471048AZ1","N/A","JAPAN BK FOR INTL   COOPERATION BOND    2.25000% 11/04/2026 ISIN #US471048AZ14  SEDOL #BD88619","2.250","11/04/2026","N/A","A1","A+","95.696","96.735","3.344","3.075","3.075","200(200)","1,000(200)",SFP 
="74460DAG4","N/A","PUBLIC STORAGE      NOTE CALL MAKE WHOLE1.50000% 11/09/2026","1.500","11/09/2026","10/09/2026","A2","A","92.640","92.937","3.367","3.288","3.288","250(10)","250(10)",IE SFP D 
="38150AJG1","N/A","GOLDMAN SACHS GROUP INC SER N MTN       1.80000% 11/13/2026","1.800","11/13/2026","11/15/2022","A2","BBB+","87.560","91.056","5.073","4.102","4.102","100(5)","166(1)",IE SFP D 
="072863AE3","N/A","BAYLOR SCOTT &WHITE HLDGS BOND          2.65000% 11/15/2026 CALL MAKE WHOLE","2.650","11/15/2026","08/15/2026","AA3","AA-","94.757","97.195","3.994","3.358","3.358","50(1)","50(10)",IE SFP D 
="110122AB4","N/A","BRISTOL-MYERS SQUIBBCO BOND             6.80000% 11/15/2026","6.800","11/15/2026","--","A2","A+","113.132","114.101","3.470","3.244","3.244","40(15)","50(5)",IE CP SFP D 
="14020ADF8","N/A","CAPITAL IMPACT      PARTNERS INVT MTN   1.50000% 11/15/2026","1.500","11/15/2026","11/15/2023","--","A","N/A","95.602","N/A","2.589","2.589","N/A(N/A)"," 5(5)",SFP SO 
="16876AAB0","N/A","CINCINNATI CHILDRENSHOSP MED SER 2016Y  2.85300% 11/15/2026 BOND CALL MAKE WHOLE","2.853","11/15/2026","08/15/2026","AA2","AA","96.081","98.253","3.854","3.293","3.293","500(10)","10(1)",IE SFP D 
="191219AY0","N/A","COCA-COLA           REFRESHMENTS USA    6.95000% 11/15/2026 BOND","6.950","11/15/2026","N/A","WR","A+","112.653","115.038","3.723","3.164","3.164","100(5)","100(5)",IE SFP D 
="254687DK9","N/A","DISNEY WALT CO      SER D NOTE          3.37500% 11/15/2026 CALL MAKE WHOLE","3.375","11/15/2026","08/15/2026","A2","BBB+","99.829","100.050","3.417","3.361","3.361","35(2)","210(10)",IE SFP D 
="452308AX7","N/A","ILLINOIS TOOL WKS   INC NOTE            2.65000% 11/15/2026 CALL MAKE WHOLE","2.650","11/15/2026","08/15/2026","A2","A+","98.674","99.002","2.982","2.899","2.899","250(5)","200(10)",IE SFP D 
="74251VAM4","N/A","PRINCIPAL FINANCIAL GROUP INC NOTE      3.10000% 11/15/2026 CALL MAKE WHOLE","3.100","11/15/2026","08/15/2026","BAA1","A-","96.093","96.918","4.104","3.888","3.888","500(2)","3(3)",IE SFP D 
="911312AY2","N/A","UNITED PARCEL SVCS  INC NOTE            2.40000% 11/15/2026 CALL MAKE WHOLE","2.400","11/15/2026","08/15/2026","A2","A","97.547","97.882","3.015","2.930","2.930","400(2)","50(10)",IE SFP D 
="927804FV1","N/A","VIRGINIA ELEC &PWR  CO SER B NOTE       2.95000% 11/15/2026 CALL MAKE WHOLE","2.950","11/15/2026","08/15/2026","A2","BBB+","97.469","98.150","3.592","3.417","3.417","270(15)","100(5)",IE SFP D 
="38145GAH3","N/A","GOLDMAN SACHS GROUP INC NOTE            3.50000% 11/16/2026 CALL MAKE WHOLE","3.500","11/16/2026","11/16/2025","A2","BBB+","98.168","98.381","3.968","3.913","3.913","100(10)","500(2)",IE SFP D 
="17290A3W8","N/A","CITIGROUP INC       SER G MTN           1.65000% 11/17/2026","1.650","11/17/2026","11/17/2023","A3","BBB+","86.080","90.750","5.325","4.020","4.020","100(5)","5(5)",IE SFP D 
="57636QAG9","N/A","MASTERCARD          INCORPORATED NOTE   2.95000% 11/21/2026 CALL MAKE WHOLE","2.950","11/21/2026","08/21/2026","A1","A+","99.252","99.540","3.137","3.064","3.064","100(10)","60(9)",IE SFP D 
="828807CY1","N/A","SIMON PPTY GROUP LP NOTE CALL MAKE WHOLE3.25000% 11/30/2026","3.250","11/30/2026","08/30/2026","A3","A-","97.439","97.881","3.899","3.785","3.785","250(10)","250(5)",IE SFP D 
="00115AAE9","N/A","AEP TRANSMISSION CO LLC SER D NOTE      3.10000% 12/01/2026 CALL MAKE WHOLE","3.100","12/01/2026","09/01/2026","A2","A-","98.578","99.306","3.456","3.273","3.273","100(5)","100(5)",IE SFP D 
="03040WAN5","N/A","AMERICAN WTR CAP    CORP NOTE           3.00000% 12/01/2026 CALL MAKE WHOLE","3.000","12/01/2026","09/01/2026","BAA1","A","97.369","98.252","3.663","3.438","3.438","25(10)","203(5)",IE SFP D 
="209111FJ7","N/A","CONSOLIDATED EDISON CO N Y INC          2.90000% 12/01/2026 SER 2016 B BOND     CALL MAKE WHOLE","2.900","12/01/2026","09/01/2026","BAA1","A-","97.137","97.763","3.620","3.461","3.461","100(5)","33(1)",IE SFP D 
="26442CAS3","N/A","DUKE ENERGY         CAROLINAS LLC BOND  2.95000% 12/01/2026 CALL MAKE WHOLE","2.950","12/01/2026","09/01/2026","AA3","A","98.495","98.675","3.326","3.280","3.280","250(5)","500(2)",IE SFP D 
="05578DAX0","N/A","BANQUE POPULAIRE    CAISSE D EPARGNE    3.37500% 12/02/2026 MTN                 ISIN #US05578DAX03","3.375","12/02/2026","--","A1","A","97.424","99.201","4.029","3.575","3.575","250(250)","250(250)",IE CP SFP D 
="032654AN5","N/A","ANALOG DEVICES INC  NOTE CALL MAKE WHOLE3.50000% 12/05/2026","3.500","12/05/2026","09/05/2026","A3","A-","100.867","101.356","3.272","3.144","3.162","100(5)","100(10)",IE SFP D 
="534187BF5","N/A","LINCOLN NATL CORP   IND NOTE            3.62500% 12/12/2026 CALL MAKE WHOLE","3.625","12/12/2026","09/12/2026","BAA1","A-","98.750","99.249","3.940","3.814","3.814","250(2)","637(10)",IE SFP D 
="020002BD2","N/A","ALLSTATE CORP       NOTE CALL MAKE WHOLE3.28000% 12/15/2026","3.280","12/15/2026","09/15/2026","A3","A-","99.759","100.494","3.339","3.151","3.157","300(10)","100(10)",IE SFP D 
="03939CAA1","N/A","ARCH CAPITAL FINANCELLC NOTE            4.01100% 12/15/2026 CALL MAKE WHOLE","4.011","12/15/2026","09/15/2026","BAA1","A-","99.779","100.210","4.066","3.955","3.957","100(5)","24(10)",IE SFP D 
="05724BAD1","N/A","BAKER HUGHES HLDGS  LLC / BAKER NOTE    2.06100% 12/15/2026 CALL MAKE WHOLE","2.061","12/15/2026","11/15/2026","A3","A-","93.121","93.370","3.785","3.721","3.721","50(10)","250(2)",IE SFP D 
="126149AD5","N/A","BESTFOODS           NOTE CALL MAKE WHOLE7.25000% 12/15/2026","7.250","12/15/2026","N/A","A1","A+","115.661","117.382","3.360","2.972","2.972","81(1)","210(15)",IE SFP D 
="46625HJZ4","N/A","JPMORGAN CHASE &CO  NOTE                4.12500% 12/15/2026","4.125","12/15/2026","--","A3","BBB+","101.299","101.466","3.798","3.757","3.757","250(10)","2(2)",IE CP SFP D 
="717081EA7","N/A","PFIZER INC          NOTE CALL MAKE WHOLE3.00000% 12/15/2026","3.000","12/15/2026","N/A","A2","A+","100.430","100.591","2.894","2.854","2.854","250(5)","250(5)",IE SFP D 
="38150AK20","N/A","GOLDMAN SACHS GROUP INC SER N MTN       2.00000% 12/30/2026","2.000","12/30/2026","12/30/2022","A2","BBB+","87.580","95.157","5.186","3.185","3.187","100(5)","20( 10)",IE SFP D 
="891490AR5","N/A","TOSCO CORP          BOND                7.80000% 01/01/2027","7.800","01/01/2027","N/A","A3","A-","114.153","118.244","4.244","3.316","3.316","100(100)","640(100)",IE SFP D 
="02665WDJ7","N/A","AMERICAN HONDA FIN  CORP  SER A MTN     2.35000% 01/08/2027 CALL MAKE WHOLE","2.350","01/08/2027","N/A","A3","A-","95.142","95.474","3.545","3.461","3.461","25(2)","250(10)",IE SFP D 
="14913R2U0","N/A","CATERPILLAR FINL    SVCS MTNS BE SER J  1.70000% 01/08/2027 CALL MAKE WHOLE","1.700","01/08/2027","N/A","A2","A","93.942","94.003","3.177","3.162","3.162","250(10)","2,170(1)",IE SFP D 
="24422EWA3","N/A","DEERE JOHN CAPITAL  CORP MTN            1.70000% 01/11/2027","1.700","01/11/2027","--","A2","A","94.320","94.432","3.079","3.051","3.051","250(10)","200(5)",IE CP SFP D 
="53944YAD5","N/A","LLOYDS BANKING GROUPNOTE                3.75000% 01/11/2027","3.750","01/11/2027","N/A","A3","BBB+","98.000","98.162","4.249","4.208","4.208","400(400)","200(200)",IE SFP D 
="86562MAN0","N/A","SUMITOMO MITSUI     FINANCIAL GROUP INC 3.44600% 01/11/2027 NOTE                ISIN #US86562MAN02","3.446","01/11/2027","N/A","A1","A-","97.662","97.891","4.026","3.969","3.969","610(2)","100(10)",IE SFP D 
="89236TDR3","N/A","TOYOTA MTR CR CORP  SER B MTN           3.20000% 01/11/2027 CALL MAKE WHOLE","3.200","01/11/2027","N/A","A1","A+","99.500","99.537","3.322","3.313","3.313","250(5)","5,370(100)",IE SFP D 
="12503MAA6","N/A","CBOE GLOBAL MKTS INCNOTE CALL MAKE WHOLE3.65000% 01/12/2027","3.650","01/12/2027","10/12/2026","A3","A-","100.084","100.449","3.629","3.534","3.539","420(2)","6(2)",IE SFP D 
="89114TZN5","N/A","TORONTO DOMINION    BANK MTN            1.95000% 01/12/2027 CALL MAKE WHOLE     ISIN #US89114TZN52","1.950","01/12/2027","N/A","A1","A","92.900","93.187","3.699","3.625","3.625","500(2)","100(10)",IE SFP D 
="89236TJV8","N/A","TOYOTA MTR CR CORP  MTN CALL MAKE WHOLE 1.90000% 01/13/2027","1.900","01/13/2027","N/A","A1","A+","93.909","94.243","3.388","3.304","3.304","250(15)","500(5)",IE SFP D 
="86562MCM0","N/A","SUMITOMO MITSUI FIN GRP INC NOTE        2.17400% 01/14/2027","2.174","01/14/2027","N/A","A1","A-","91.873","92.559","4.197","4.019","4.019","200(200)","1,000(200)",IE SFP D 
="718154CF2","N/A","ALTRIA GROUP INC    BOND                7.75000% 01/15/2027","7.750","01/15/2027","--","A3","BBB","114.646","117.405","4.112","3.490","3.490","250(5)","41(5)",IE CP SFP D 
="20030NBW0","N/A","COMCAST CORP NEW    NOTE CALL MAKE WHOLE2.35000% 01/15/2027","2.350","01/15/2027","10/15/2026","A3","A-","95.701","95.879","3.400","3.355","3.355","250(15)","250(5)",IE SFP D 
="26444HAC5","N/A","DUKE ENERGY FLA LLC BOND CALL MAKE WHOLE3.20000% 01/15/2027","3.200","01/15/2027","10/15/2026","A1","A","99.588","99.750","3.300","3.261","3.261","250(5)","500(2)",IE SFP D 
="743315AR4","N/A","PROGRESSIVE CORP    NOTE CALL MAKE WHOLE2.45000% 01/15/2027","2.450","01/15/2027","N/A","A2","A","96.553","96.784","3.289","3.232","3.232","973(2)","100(2)",IE SFP D 
="756109AS3","N/A","REALTY INCOME CORP  NOTE CALL MAKE WHOLE3.00000% 01/15/2027","3.000","01/15/2027","10/15/2026","A3","A-","96.410","97.089","3.886","3.716","3.716","300(15)","32(10)",IE SFP D 
="828807DP9","N/A","SIMON PPTY GROUP LP NOTE CALL MAKE WHOLE1.37500% 01/15/2027","1.375","01/15/2027","10/15/2026","A3","A-","89.545","89.554","3.962","3.960","3.960","149(10)","500(2)",IE SFP D 
="87612EBM7","N/A","TARGET CORP         NOTE CALL MAKE WHOLE1.95000% 01/15/2027","1.950","01/15/2027","12/15/2026","A2","A","95.458","95.502","3.050","3.039","3.039","207(2)","2,000(10)",IE SFP D 
="91324PCW0","N/A","UNITEDHEALTH GROUP  INC NOTE            3.45000% 01/15/2027 CALL MAKE WHOLE","3.450","01/15/2027","N/A","A3","A+","101.079","101.254","3.188","3.145","3.145","407(2)","500(10)",IE SFP D 
="10373QAV2","N/A","BP CAP MKTS AMER INCSER B NOTE          3.01700% 01/16/2027 CALL MAKE WHOLE","3.017","01/16/2027","10/16/2026","A2","A-","98.295","98.557","3.433","3.369","3.369","250(5)","250(5)",IE SFP D 
="50064FAM6","N/A","KOREA(REPUBLIC OF)  NOTE                2.75000% 01/19/2027 ISIN #US50064FAM68  SEDOL #BYWBT90","2.750","01/19/2027","N/A","AA2","AA","98.500","100.362","3.113","2.663","2.663","2,500(200)","2,500(200)",IE SFP 
="61746BEF9","N/A","MORGAN STANLEY      SER I MTN           3.62500% 01/20/2027 CALL MAKE WHOLE","3.625","01/20/2027","N/A","A1","A-","100.066","100.176","3.609","3.582","3.582","250(1)","300(20)",IE SFP D 
="13607X4M6","N/A","CANADIAN IMPERIAL BKCOMM TORO MTN       2.00000% 01/21/2027","2.000","01/21/2027","01/21/2023","A2","A-","88.470","94.500","4.907","3.336","3.336","100(5)","20(5)",IE SFP D 
="78016EYV3","N/A","ROYAL BK CDA        SER I MTN           2.05000% 01/21/2027 CALL MAKE WHOLE","2.050","01/21/2027","N/A","A1","A","93.303","93.617","3.691","3.611","3.611","225(20)","300(20)",IE SFP D 
="78409VAM6","N/A","S&P GLOBAL INC      SER B NOTE          2.95000% 01/22/2027 CALL MAKE WHOLE","2.950","01/22/2027","10/22/2026","A3","--","98.074","98.205","3.418","3.386","3.386","250(10)","9(2)",IE SFP D 
="06406RBA4","N/A","BANK NEW YORK MELLONCORP SER J MTN      2.05000% 01/26/2027","2.050","01/26/2027","12/24/2026","A1","A","94.078","94.453","3.490","3.396","3.396","460(9)","75(1)",IE SFP D 
="0641594G8","N/A","BANK NOVA SCOTIA B CSER B NOTE          1.25000% 01/27/2027","1.250","01/27/2027","01/27/2023","A2","A-","84.557","91.140","5.154","3.398","3.398","100(5)","22(5)",IE SFP D 
="459200JR3","N/A","INTERNATIONAL       BUSINESS MACHS NOTE 3.30000% 01/27/2027 CALL MAKE WHOLE","3.300","01/27/2027","N/A","A3","A-","99.244","99.621","3.484","3.392","3.392","100(100)","1,000(100)",IE SFP D 
="168863DX3","N/A","CHILE REP           NOTE CALL MAKE WHOLE2.75000% 01/31/2027","2.750","01/31/2027","12/31/2026","A1","A","94.950","97.074","3.987","3.459","3.459","200(200)","250(200)",IE SFP 
="00724PAC3","N/A","ADOBE INC           NOTE CALL MAKE WHOLE2.15000% 02/01/2027","2.150","02/01/2027","12/01/2026","A2","A+","96.122","96.509","3.081","2.986","2.986","250(10)","250(10)",IE SFP D 
="15189XAR9","N/A","CENTERPOINT ENERGY  HOUSTON ELE SER AA  3.00000% 02/01/2027 BOND CALL MAKE WHOLE","3.000","02/01/2027","11/01/2026","A2","A","98.322","98.828","3.406","3.283","3.283","198(1)","250(5)",IE SFP D 
="20030NBY6","N/A","COMCAST CORP NEW    NOTE CALL MAKE WHOLE3.30000% 02/01/2027","3.300","02/01/2027","11/01/2026","A3","A-","99.522","99.586","3.416","3.400","3.400","49(2)","500(2)",IE SFP D 
="278865BL3","N/A","ECOLAB INC          NOTE CALL MAKE WHOLE1.65000% 02/01/2027","1.650","02/01/2027","01/01/2027","A3","A-","94.120","94.378","3.061","2.997","2.997","500(10)","200(10)",IE SFP D 
="742718FV6","N/A","PROCTER &GAMBLE CO  NOTE CALL MAKE WHOLE1.90000% 02/01/2027","1.900","02/01/2027","N/A","AA3","AA-","96.140","96.436","2.821","2.749","2.749","250(10)","250(10)",IE SFP D 
="06417XAD3","N/A","BANK NOVA SCOTIA    HALIFAX SER I MTN   1.95000% 02/02/2027 CALL MAKE WHOLE","1.950","02/02/2027","N/A","A2","A-","92.130","92.331","3.875","3.823","3.823","500(2)","400(20)",IE SFP D 
="69371RR65","N/A","PACCAR FINANCIAL    CORP MTN            2.00000% 02/04/2027","2.000","02/04/2027","--","A1","A+","94.417","95.888","3.347","2.983","2.983","100(10)","100(10)",IE CP SFP 
="907818FJ2","N/A","UNION PAC CORP      NOTE CALL MAKE WHOLE2.15000% 02/05/2027","2.150","02/05/2027","12/05/2026","A3","A-","95.268","95.450","3.289","3.244","3.244","275(10)","500(1)",IE SFP D 
="594918BY9","N/A","MICROSOFT CORP      NOTE CALL MAKE WHOLE3.30000% 02/06/2027","3.300","02/06/2027","11/06/2026","AAA","AAA","101.502","101.713","2.923","2.870","2.892","50(2)","500(10)",IE SFP D 
="219868CF1","N/A","CORPORACION ANDINA  DE FOMENTO NOTE     2.25000% 02/08/2027","2.250","02/08/2027","N/A","AA3","AA-","93.615","94.658","3.804","3.542","3.542","500(50)","500(50)",SFP 
="037833CJ7","N/A","APPLE INC           NOTE CALL MAKE WHOLE3.35000% 02/09/2027","3.350","02/09/2027","11/09/2026","AAA","AA+","101.261","101.415","3.033","2.995","3.012","138(2)","501(10)",IE SFP D 
="459200KM2","N/A","INTERNATIONAL       BUSINESS MACHS NOTE 2.20000% 02/09/2027 CALL MAKE WHOLE","2.200","02/09/2027","01/09/2027","A3","A-","94.468","95.350","3.537","3.318","3.318","100(100)","500(100)",IE SFP D 
="66989HAQ1","N/A","NOVARTIS CAPITAL    CORP NOTE           2.00000% 02/14/2027 CALL MAKE WHOLE","2.000","02/14/2027","12/14/2026","A1","AA-","95.632","95.723","3.040","3.018","3.018","250(5)","500(5)",IE SFP D 
="63743FJ98","N/A","NATIONAL RURAL UTILSCOOP FIN MTN        2.10000% 02/15/2027","2.100","02/15/2027","--","A2","A-","92.526","94.528","3.902","3.405","3.405","100(10)","3(3)",IE CP SFP D SO 
="17290AAF7","N/A","CITIGROUP INC       SER G MTN           2.40000% 02/16/2027","2.400","02/16/2027","02/16/2024","A3","BBB+","N/A","98.000","N/A","2.874","2.874","N/A(N/A)","25(1)",SFP 
="031162CT5","N/A","AMGEN INC           NOTE CALL MAKE WHOLE2.20000% 02/21/2027","2.200","02/21/2027","12/21/2026","BAA1","A-","94.935","95.025","3.412","3.390","3.390","250(2)","500(2)",IE SFP D 
="606822AN4","N/A","MITSUBISHI UFJ      FINANCIAL GROUP INC 3.67700% 02/22/2027 NOTE","3.677","02/22/2027","N/A","A1","A-","98.275","98.889","4.096","3.946","3.946","500(2)","100(10)",IE SFP D 
="056752AV0","N/A","BAIDU INC           NOTE CALL MAKE WHOLE1.62500% 02/23/2027 ISIN #US056752AV05  SEDOL #BN4FTS2","1.625","02/23/2027","01/23/2027","A3","--","88.939","89.669","4.328","4.138","4.138","200(200)","494(200)",IE SFP D 
="500630DR6","N/A","KOREA DEV BK        NOTE                2.25000% 02/24/2027","2.250","02/24/2027","--","AA2","AA","95.115","96.186","3.417","3.155","3.155","200(200)","200(200)",CP SFP 
="110122BB3","N/A","BRISTOL-MYERS SQUIBBCO NOTE             3.25000% 02/27/2027 CALL MAKE WHOLE","3.250","02/27/2027","N/A","A2","A+","100.675","101.020","3.090","3.009","3.009","250(5)","250(5)",IE SFP D 
="60687YAK5","N/A","MIZUHO FINANCIAL    GROUP NOTE          3.66300% 02/28/2027","3.663","02/28/2027","N/A","A1","A-","97.163","98.181","4.354","4.103","4.103","250(200)","200(200)",IE SFP 
="125523CB4","N/A","CIGNA CORP NEW      SER C NOTE          3.40000% 03/01/2027 CALL MAKE WHOLE","3.400","03/01/2027","12/01/2026","BAA1","A-","98.802","98.833","3.686","3.679","3.679","200(10)","560(10)",IE SFP D 
="30219GAN8","N/A","EXPRESS SCRIPTS HLDGCO NOTE             3.40000% 03/01/2027 CALL MAKE WHOLE","3.400","03/01/2027","12/01/2026","WR","A-","96.669","98.096","4.207","3.857","3.857","250(10)","13(13)",IE SFP D 
="375558BM4","N/A","GILEAD SCIENCES INC NOTE CALL MAKE WHOLE2.95000% 03/01/2027","2.950","03/01/2027","12/01/2026","A3","BBB+","97.495","97.568","3.548","3.530","3.530","500(5)","583(2)",IE SFP D 
="438516CE4","N/A","HONEYWELL INTL INC  NOTE CALL MAKE WHOLE1.10000% 03/01/2027","1.100","03/01/2027","02/01/2027","A2","A","91.695","91.778","3.059","3.038","3.038","500(10)","500(2)",IE SFP D 
="808513AQ8","N/A","SCHWAB CHARLES CORP NOTE CALL MAKE WHOLE3.20000% 03/02/2027","3.200","03/02/2027","12/02/2026","A2","A","99.050","99.288","3.426","3.369","3.369","500(2)","33(2)",IE SFP D 
="478160CE2","N/A","JOHNSON &JOHNSON    NOTE CALL MAKE WHOLE2.95000% 03/03/2027","2.950","03/03/2027","12/03/2026","AAA","AAA","99.925","100.132","2.967","2.918","2.919","100(10)","1,500(50)",IE SFP D 
="808513BY0","N/A","SCHWAB CHARLES CORP NOTE CALL MAKE WHOLE2.45000% 03/03/2027","2.450","03/03/2027","02/03/2027","A2","A","95.693","95.912","3.475","3.421","3.421","100(10)","400(20)",IE SFP D 
="025816CS6","N/A","AMERICAN EXPRESS CO NOTE                2.55000% 03/04/2027","2.550","03/04/2027","02/01/2027","A2","BBB+","95.576","95.718","3.605","3.571","3.571","250(15)","400(20)",IE SFP D 
="06368FAJ8","N/A","BANK OF MONTREAL    SER F MTN           2.65000% 03/08/2027 CALL MAKE WHOLE","2.650","03/08/2027","N/A","A2","A-","95.324","95.567","3.767","3.708","3.708","250(2)","500(2)",IE SFP D 
="24422EWD7","N/A","DEERE JOHN CAPITAL  CORP SER H MTN      2.35000% 03/08/2027","2.350","03/08/2027","--","A2","A","96.834","97.030","3.094","3.047","3.047","100(10)","887(1)",IE CP SFP D 
="961214DK6","N/A","WESTPAC BANKING     CORPORATION BOND    3.35000% 03/08/2027","3.350","03/08/2027","N/A","AA3","AA-","98.670","99.149","3.667","3.552","3.552","250(2)","68(10)",IE SFP D 
="24422EVF3","N/A","DEERE JOHN CAPITAL  CORP SER G MTN      1.75000% 03/09/2027","1.750","03/09/2027","--","A2","A","93.891","94.203","3.189","3.113","3.113","500(5)","4(1)",IE CP SFP D 
="438127AB8","N/A","HONDA MOTOR CO LTD  NOTE CALL MAKE WHOLE2.53400% 03/10/2027 ISIN #US438127AB80","2.534","03/10/2027","02/10/2027","A3","A-","95.900","96.050","3.506","3.470","3.470","200(10)","500(2)",IE SFP D 
="89114TZT2","N/A","TORONTO DOMINION    BANK MTN            2.80000% 03/10/2027 CALL MAKE WHOLE","2.800","03/10/2027","N/A","A1","A","96.023","96.225","3.749","3.700","3.700","300(15)","78(5)",IE SFP D 
="06418BAE8","N/A","BANK NOVA SCOTIA B CMTN CALL MAKE WHOLE 2.95100% 03/11/2027","2.951","03/11/2027","N/A","A2","A-","96.125","96.541","3.878","3.776","3.776","500(10)","10(10)",IE SFP D 
="084664CZ2","N/A","BERKSHIRE HATHAWAY  FIN CORP NOTE       2.30000% 03/15/2027 CALL MAKE WHOLE","2.300","03/15/2027","02/15/2027","AA2","AA","97.308","97.487","2.928","2.885","2.885","500(2)","250(10)",IE SFP D 
="09247XAN1","N/A","BLACKROCK INC       NOTE CALL MAKE WHOLE3.20000% 03/15/2027","3.200","03/15/2027","N/A","AA3","AA-","100.536","101.342","3.074","2.887","2.887","250(10)","25(2)",IE SFP D 
="207597EJ0","N/A","CONNECTICUT LT &PWR CO SER A BOND       3.20000% 03/15/2027 CALL MAKE WHOLE","3.200","03/15/2027","12/15/2026","A1","A+","99.386","100.080","3.344","3.180","3.181","30(15)","250(5)",IE SFP D 
="532457AZ1","N/A","ELI LILLY &CO       NOTE CALL MAKE WHOLE5.50000% 03/15/2027","5.500","03/15/2027","N/A","A2","A+","109.766","110.131","3.205","3.124","3.124","500(2)","17(17)",IE SFP D 
="29736RAJ9","N/A","LAUDER ESTEE COS INCNOTE CALL MAKE WHOLE3.15000% 03/15/2027","3.150","03/15/2027","12/15/2026","A1","A+","99.554","99.998","3.254","3.150","3.150","250(10)","7(2)",IE SFP D 
="743315AY9","N/A","PROGRESSIVE CORP    NOTE CALL MAKE WHOLE2.50000% 03/15/2027","2.500","03/15/2027","02/15/2027","A2","A","96.386","96.753","3.351","3.263","3.263","150(2)","250(2)",IE SFP D 
="75513ECH2","N/A","RAYTHEON            TECHNOLOGIES CORP   3.50000% 03/15/2027 SER C NOTE          CALL MAKE WHOLE","3.500","03/15/2027","12/15/2026","BAA1","A-","100.137","100.475","3.466","3.382","3.387","250(10)","500(2)",IE SFP D 
="774341AK7","N/A","ROCKWELL COLLINS INCNOTE CALL MAKE WHOLE3.50000% 03/15/2027","3.500","03/15/2027","12/15/2026","WR","A-","97.783","100.102","4.031","3.475","3.475","100(10)","15(15)",IE SFP D 
="927804FX7","N/A","VIRGINIA ELEC &PWR  CO SER A NOTE       3.50000% 03/15/2027 CALL MAKE WHOLE","3.500","03/15/2027","12/15/2026","A2","BBB+","99.930","100.399","3.516","3.401","3.405","250(5)","200(2)",IE SFP D 
="30231GBJ0","N/A","EXXON MOBIL CORP    NOTE CALL MAKE WHOLE3.29400% 03/19/2027","3.294","03/19/2027","01/19/2027","AA2","AA-","100.967","101.260","3.060","2.990","3.000","250(5)","200(10)",IE SFP D 
="713448ER5","N/A","PEPSICO INC         NOTE CALL MAKE WHOLE2.62500% 03/19/2027","2.625","03/19/2027","01/19/2027","A1","A+","97.903","98.071","3.115","3.075","3.075","300(10)","700(2)",IE SFP D 
="89236TJZ9","N/A","TOYOTA MTR CR CORP  MTN CALL MAKE WHOLE 3.05000% 03/22/2027","3.050","03/22/2027","N/A","A1","A+","98.538","98.594","3.393","3.380","3.380","250(15)","11(11)",IE SFP D 
="254687FP6","N/A","DISNEY WALT CO      NOTE CALL MAKE WHOLE3.70000% 03/23/2027","3.700","03/23/2027","N/A","A2","BBB+","101.322","101.640","3.389","3.315","3.315","250(10)","343(10)",IE SFP D 
="191216CR9","N/A","COCA COLA CO        NOTE CALL MAKE WHOLE3.37500% 03/25/2027","3.375","03/25/2027","N/A","A1","A+","101.831","102.025","2.949","2.905","2.905","500(5)","500(2)",IE SFP D 
="458140BQ2","N/A","INTEL CORP          NOTE CALL MAKE WHOLE3.75000% 03/25/2027","3.750","03/25/2027","01/25/2027","A1","A+","102.006","102.446","3.265","3.160","3.178","100(10)","100(10)",IE SFP D 
="742718FG9","N/A","PROCTER &GAMBLE CO  NOTE CALL MAKE WHOLE2.80000% 03/25/2027","2.800","03/25/2027","N/A","AA3","AA-","99.140","99.281","2.999","2.966","2.966","300(5)","174(2)",IE SFP D 
="57636QAR5","N/A","MASTERCARD          INCORPORATED NOTE   3.30000% 03/26/2027 CALL MAKE WHOLE","3.300","03/26/2027","01/26/2027","A1","A+","100.897","101.050","3.084","3.047","3.055","40(2)","500(2)",IE SFP D 
="654106AJ2","N/A","NIKE INC            NOTE CALL MAKE WHOLE2.75000% 03/27/2027","2.750","03/27/2027","01/27/2027","A1","AA-","98.617","98.744","3.071","3.041","3.041","500(10)","2,000(10)",IE SFP D 
